Entry	Protein names	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Gene Ontology (biological process)
A0A5K4E8Z6	non-specific serine/threonine protein kinase (EC 2.7.11.1)	ATP binding [GO:0005524]; MAP kinase kinase kinase kinase activity [GO:0008349]; protein serine kinase activity [GO:0106310]		protein phosphorylation [GO:0006468]
A0A5K4ECP8	DNA replication licensing factor MCM3 (EC 3.6.4.12)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; helicase activity [GO:0004386]	MCM complex [GO:0042555]; nucleus [GO:0005634]	DNA duplex unwinding [GO:0032508]; DNA replication initiation [GO:0006270]
A0A5K4EDG0	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24)	ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; metal ion binding [GO:0046872]	cytosol [GO:0005829]	phosphorylation [GO:0016310]
A0A5K4EDT5	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24)	ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; metal ion binding [GO:0046872]	cytosol [GO:0005829]	phosphorylation [GO:0016310]
A0A5K4EDV2	Sugar phosphate phosphatase (EC 2.1.1.-) (EC 3.1.3.-)	fructose 6-phosphate aldolase activity [GO:0097023]; fructose-1-phosphatase activity [GO:0103026]; metal ion binding [GO:0046872]; protein-glutamate O-methyltransferase activity [GO:0008983]		methylation [GO:0032259]
A0A5K4EE48	Adenylate kinase isoenzyme 6 homolog (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	nucleus [GO:0005634]	phosphorylation [GO:0016310]
A0A5K4EI03	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1)	2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; fumarate reductase (menaquinone) [GO:0102040]; metal ion binding [GO:0046872]; succinate dehydrogenase (ubiquinone) activity [GO:0008177]	mitochondrial inner membrane [GO:0005743]	tricarboxylic acid cycle [GO:0006099]
A0A5K4EL52	glutamate synthase (NADH) (EC 1.4.1.14)	3 iron, 4 sulfur cluster binding [GO:0051538]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; glutamate synthase (NADH) activity [GO:0016040]; iron ion binding [GO:0005506]		glutamine metabolic process [GO:0006541]; L-glutamate biosynthetic process [GO:0097054]
A0A5K4ELM8	Lon protease homolog, mitochondrial (EC 3.4.21.53)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]	mitochondrial matrix [GO:0005759]	cellular response to oxidative stress [GO:0034599]; chaperone-mediated protein complex assembly [GO:0051131]; oxidation-dependent protein catabolic process [GO:0070407]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]
A0A5K4EQ32	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase)	ATP binding [GO:0005524]; N-acetyltransferase activity [GO:0008080]	nucleolus [GO:0005730]	ribosomal small subunit biogenesis [GO:0042274]; rRNA modification [GO:0000154]; tRNA acetylation [GO:0051391]
A0A5K4ER01	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase)	ATP binding [GO:0005524]; N-acetyltransferase activity [GO:0008080]	nucleolus [GO:0005730]	ribosomal small subunit biogenesis [GO:0042274]; rRNA modification [GO:0000154]; tRNA acetylation [GO:0051391]
A0A5K4EST7	Oxidized purine nucleoside triphosphate hydrolase (EC 3.6.1.56) (2-hydroxy-dATP diphosphatase) (7,8-dihydro-8-oxoguanine triphosphatase) (8-oxo-dGTPase) (Methylated purine nucleoside triphosphate hydrolase) (Nucleoside diphosphate-linked moiety X motif 1)	8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]		DNA protection [GO:0042262]
A0A5K4ETF5	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase)	magnesium ion binding [GO:0000287]; phosphoacetylglucosamine mutase activity [GO:0004610]		carbohydrate metabolic process [GO:0005975]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]
A0A5K4EUW1	Chromatin-remodeling ATPase INO80 (EC 3.6.4.-)	ATP binding [GO:0005524]; ATP-dependent chromatin remodeler activity [GO:0140658]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]	Ino80 complex [GO:0031011]	DNA repair [GO:0006281]
A0A5K4EW85	Katanin p80 WD40 repeat-containing subunit B1 (Katanin p80 subunit B1) (p80 katanin)	microtubule binding [GO:0008017]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; katanin complex [GO:0008352]; microtubule [GO:0005874]; spindle pole [GO:0000922]	cell cycle [GO:0007049]; cell division [GO:0051301]; microtubule severing [GO:0051013]
A0A5K4EY01	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)	S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	L-methionine salvage from methylthioadenosine [GO:0019509]; purine ribonucleoside salvage [GO:0006166]
A0A5K4EZ34	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein) (tRNA threonylcarbamoyladenosine biosynthesis protein)	metal ion binding [GO:0046872]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]	mitochondrion [GO:0005739]	tRNA threonylcarbamoyladenosine modification [GO:0002949]
A0A5K4F163	FAR-17a/AIG1-like protein		membrane [GO:0016020]	
A0A5K4F2G7	ATP-dependent RNA helicase (EC 3.6.4.13)	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]	endoplasmic reticulum membrane [GO:0005789]	GPI anchor biosynthetic process [GO:0006506]
A0A5K4F3L4	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase)	guanosine phosphorylase activity [GO:0047975]; purine-nucleoside phosphorylase activity [GO:0004731]		nucleoside metabolic process [GO:0009116]
A0A5K4F407	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase)	guanosine phosphorylase activity [GO:0047975]; purine-nucleoside phosphorylase activity [GO:0004731]		nucleoside metabolic process [GO:0009116]
A0A5K4F587	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F7R5	FAR-17a/AIG1-like protein		membrane [GO:0016020]	
A0A5K4F8I5	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 (EC 2.1.1.57) (Cap1 2'O-ribose methyltransferase 1)	mRNA (nucleoside-2'-O-)-methyltransferase activity [GO:0004483]; nucleic acid binding [GO:0003676]	transcription factor TFIIH core complex [GO:0000439]	7-methylguanosine mRNA capping [GO:0006370]; cap1 mRNA methylation [GO:0097309]; nucleotide-excision repair [GO:0006289]; regulation of DNA-templated transcription [GO:0006355]
A0A5K4F9K2	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]	mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	base-excision repair [GO:0006284]; DNA replication, removal of RNA primer [GO:0043137]
A0A5K4F9L9	Pre-mRNA-processing factor 19 (EC 2.3.2.27)	ubiquitin protein ligase activity [GO:0061630]	nucleoplasm [GO:0005654]; Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]	DNA repair [GO:0006281]; mRNA splicing, via spliceosome [GO:0000398]; protein K63-linked ubiquitination [GO:0070534]
A0A5K4FA92	Peptidylglycine monooxygenase	copper ion binding [GO:0005507]; lyase activity [GO:0016829]; peptidylglycine monooxygenase activity [GO:0004504]	membrane [GO:0016020]	peptide metabolic process [GO:0006518]
A0A5K4FAB6	mRNA-capping enzyme [Includes: mRNA 5'-triphosphate monophosphatase (EC 3.6.1.74) (mRNA 5'-phosphatase); mRNA guanylyltransferase (EC 2.7.7.50) (GTP--RNA guanylyltransferase) (GTase)]	ATP binding [GO:0005524]; GTP binding [GO:0005525]; mRNA 5'-phosphatase activity [GO:0140818]; mRNA guanylyltransferase activity [GO:0004484]; polynucleotide 5'-phosphatase activity [GO:0004651]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]	nucleus [GO:0005634]	7-methylguanosine mRNA capping [GO:0006370]; protein dephosphorylation [GO:0006470]
A0A5K4FBC7	FAR-17a/AIG1-like protein		membrane [GO:0016020]	
A0A5K4FBP9	alpha-1,2-Mannosidase (EC 3.2.1.-)	calcium ion binding [GO:0005509]; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [GO:0004571]	endoplasmic reticulum quality control compartment [GO:0044322]; membrane [GO:0016020]	carbohydrate metabolic process [GO:0005975]; endoplasmic reticulum mannose trimming [GO:1904380]; mannose trimming involved in glycoprotein ERAD pathway [GO:1904382]
A0A5K4FDX9	alpha-1,2-Mannosidase (EC 3.2.1.-)	calcium ion binding [GO:0005509]; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [GO:0004571]	endoplasmic reticulum quality control compartment [GO:0044322]; membrane [GO:0016020]	carbohydrate metabolic process [GO:0005975]; endoplasmic reticulum mannose trimming [GO:1904380]; mannose trimming involved in glycoprotein ERAD pathway [GO:1904382]
A0A5K4FFI7	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	4-hydroxybenzoate decaprenyltransferase activity [GO:0002083]; 4-hydroxybenzoate nonaprenyltransferase activity [GO:0047293]; 4-hydroxybenzoate octaprenyltransferase activity [GO:0008412]	mitochondrial inner membrane [GO:0005743]	isoprenoid biosynthetic process [GO:0008299]; ubiquinone biosynthetic process [GO:0006744]
A0A5K4FGM8	E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase listerin)	metal ion binding [GO:0046872]; ribosomal large subunit binding [GO:0043023]; ubiquitin protein ligase activity [GO:0061630]	cytosol [GO:0005829]; RQC complex [GO:1990112]	protein ubiquitination [GO:0016567]; rescue of stalled ribosome [GO:0072344]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]
A0A5K4FGT9	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	4-hydroxybenzoate decaprenyltransferase activity [GO:0002083]; 4-hydroxybenzoate nonaprenyltransferase activity [GO:0047293]; 4-hydroxybenzoate octaprenyltransferase activity [GO:0008412]	mitochondrial inner membrane [GO:0005743]	isoprenoid biosynthetic process [GO:0008299]; ubiquinone biosynthetic process [GO:0006744]
A0A650C123	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A650C1A4	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A6G7MAH5	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A6G7MAK5	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A6G7MAL5	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A6G7MAQ9	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A6G7MAV4	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A6G7MAW4	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A7S9VN83	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	pyridoxal kinase activity [GO:0008478]		phosphorylation [GO:0016310]; pyridoxal 5'-phosphate salvage [GO:0009443]
A0A8A4S0R1	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C0SKM6	Presenilin (EC 3.4.23.-)	aspartic-type endopeptidase activity [GO:0004190]	endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]	Notch signaling pathway [GO:0007219]; protein processing [GO:0016485]
C4PY91	Ras-related protein Rab-14	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	cytosol [GO:0005829]; early endosome membrane [GO:0031901]; phagocytic vesicle [GO:0045335]; recycling endosome [GO:0055037]; trans-Golgi network [GO:0005802]	defense response to bacterium [GO:0042742]; endocytic recycling [GO:0032456]; Golgi to endosome transport [GO:0006895]; phagosome maturation [GO:0090382]
C4PYP8	Anamorsin homolog (Fe-S cluster assembly protein DRE2 homolog)	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]	mitochondrial intermembrane space [GO:0005758]	iron-sulfur cluster assembly [GO:0016226]
C4PZQ3	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; metal ion binding [GO:0046872]	mitochondrion [GO:0005739]	protein lipoylation [GO:0009249]
C4Q0P6	Lissencephaly-1 homolog	dynein complex binding [GO:0070840]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule organizing center [GO:0005815]	cell division [GO:0051301]; establishment of mitotic spindle orientation [GO:0000132]; microtubule sliding [GO:0051012]
C4QCD2	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]	'de novo' AMP biosynthetic process [GO:0044208]
C4QM85	Tetraspanning orphan receptor (Complement C2 receptor inhibitor tetraspanning) (Complement C2 receptor inhibitor trispanning) (SmCRIT) (Trispanning orphan receptor) (Sm-TOR)		plasma membrane [GO:0005886]	
C5I6T0	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C5I6T2	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C5I6U0	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C5I6U5	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C5I6V4	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C5I6V7	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C5I6V8	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C5I6V9	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C5I6W3	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C8CKF6	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
C8CKF7	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
